iter	Passed	Remaining
0	3	394
1	7	366
2	10	350
3	13	333
4	17	327
5	20	324
6	24	319
7	26	306
8	28	285
9	29	267
10	31	252
11	32	239
12	34	228
13	35	219
14	37	210
15	38	203
16	40	196
17	41	190
18	43	184
19	44	178
20	46	173
21	47	169
22	49	164
23	50	160
24	52	156
25	53	152
26	55	150
27	57	148
28	59	146
29	61	143
30	63	140
31	65	138
32	67	136
33	69	134
34	70	131
35	72	128
36	74	126
37	75	123
38	77	120
39	78	117
40	80	115
41	80	111
42	82	108
43	83	106
44	85	104
45	86	101
46	88	99
47	89	97
48	91	95
49	92	92
50	94	90
51	95	88
52	97	86
53	98	84
54	99	81
55	101	79
56	102	77
57	104	75
58	105	73
59	107	71
60	108	69
61	110	67
62	112	65
63	113	63
64	115	61
65	116	60
66	118	58
67	119	56
68	120	54
69	122	52
70	123	50
71	126	49
72	128	47
73	130	45
74	131	43
75	133	42
76	134	40
77	136	38
78	137	36
79	139	34
80	140	32
81	142	31
82	143	29
83	144	27
84	146	25
85	148	24
86	149	22
87	150	20
88	152	18
89	154	17
90	155	15
91	157	13
92	158	11
93	160	10
94	161	8
95	162	6
96	164	5
97	165	3
98	167	1
99	168	0
