iter	Passed	Remaining
0	179	179419
1	183	91627
2	185	61725
3	187	46749
4	189	37800
5	192	31839
6	194	27567
7	198	24563
8	200	22069
9	202	20054
10	204	18402
11	206	16993
12	207	15784
13	209	14746
14	211	13866
15	213	13125
16	214	12426
17	216	11803
18	217	11251
19	219	10755
20	221	10302
21	222	9894
22	224	9517
23	225	9173
24	228	8896
25	229	8607
26	231	8335
27	232	8088
28	234	7865
29	236	7651
30	238	7445
31	239	7250
32	243	7121
33	244	6950
34	246	6784
35	247	6628
36	249	6489
37	251	6355
38	252	6223
39	254	6097
40	255	5975
41	258	5890
42	259	5781
43	261	5677
44	262	5580
45	264	5484
46	266	5399
47	267	5311
48	269	5227
49	271	5163
50	273	5088
51	274	5012
52	276	4943
53	278	4871
54	279	4803
55	281	4736
56	282	4673
57	283	4610
58	286	4566
59	288	4516
60	289	4461
61	291	4407
62	292	4354
63	294	4303
64	295	4254
65	297	4206
66	298	4160
67	301	4135
68	303	4092
69	304	4048
70	306	4006
71	307	3966
72	309	3926
73	310	3887
74	312	3849
75	313	3812
76	316	3791
77	318	3760
78	319	3728
79	321	3698
80	323	3666
81	324	3636
82	325	3599
83	327	3570
84	328	3541
85	332	3537
86	334	3510
87	336	3483
88	337	3457
89	339	3431
90	340	3406
91	342	3381
92	344	3358
93	346	3339
94	348	3315
95	349	3292
96	351	3269
97	352	3247
98	354	3225
99	356	3204
100	357	3184
101	360	3177
102	362	3157
103	364	3138
104	365	3119
105	367	3099
106	369	3081
107	370	3063
108	372	3047
109	377	3057
110	380	3047
111	382	3036
112	385	3025
113	387	3008
114	389	2999
115	391	2983
116	392	2963
117	394	2947
118	396	2931
119	397	2915
120	399	2899
121	400	2882
122	402	2868
123	405	2864
124	407	2849
125	408	2836
126	410	2819
127	411	2805
128	413	2792
129	415	2779
130	417	2766
131	419	2759
132	421	2747
133	423	2735
134	424	2722
135	426	2709
136	428	2697
137	429	2685
138	431	2673
139	433	2663
140	436	2656
141	437	2640
142	438	2629
143	440	2617
144	442	2606
145	443	2596
146	445	2585
147	447	2574
148	450	2571
149	452	2561
150	453	2550
151	455	2541
152	457	2531
153	458	2521
154	460	2510
155	462	2501
156	466	2502
157	467	2492
158	469	2481
159	470	2472
160	471	2459
161	473	2448
162	474	2438
163	476	2428
164	477	2418
165	480	2415
166	482	2404
167	483	2394
168	485	2384
169	486	2375
170	488	2366
171	489	2356
172	491	2348
173	493	2342
174	495	2336
175	497	2327
176	498	2318
177	500	2309
178	501	2300
179	503	2291
180	504	2283
181	506	2274
182	507	2265
183	510	2262
184	511	2254
185	513	2245
186	514	2237
187	516	2229
188	517	2221
189	519	2213
190	520	2204
191	521	2196
192	524	2194
193	526	2186
194	527	2178
195	529	2171
196	530	2163
197	532	2156
198	533	2148
199	535	2141
200	536	2133
201	539	2132
202	541	2125
203	542	2117
204	544	2110
205	545	2103
206	547	2096
207	548	2089
208	550	2081
209	551	2074
210	553	2069
211	555	2065
212	557	2058
213	558	2051
214	560	2045
215	562	2040
216	563	2034
217	565	2027
218	566	2021
219	569	2018
220	570	2012
221	572	2005
222	573	1999
223	575	1993
224	576	1986
225	578	1980
226	579	1974
227	581	1968
228	583	1963
229	585	1960
230	587	1954
231	588	1948
232	590	1942
233	591	1936
234	593	1930
235	594	1924
236	596	1918
237	597	1912
238	599	1910
239	601	1904
240	602	1898
241	604	1892
242	605	1887
243	607	1881
244	608	1876
245	610	1870
246	611	1865
247	614	1863
248	616	1858
249	617	1852
250	619	1847
251	620	1842
252	622	1836
